family,level,compression,psnr,msssim
bior1.1,1,74.08148500456123,69.91100285166468,0.9946644598841148
bior1.1,2,74.0830444005169,74.46521762874941,0.994693714221716
bior1.1,3,74.08378306175905,77.96890196497256,0.9946999073050116
bior1.1,4,74.08324958419527,80.79412695798351,0.9946992305611866
bior1.3,1,74.08193640865366,64.93604302981007,0.9946135554486604
bior1.3,2,74.08394720870176,68.46169558562198,0.9946695841089912
bior1.3,3,74.08476794341526,72.46986514886419,0.994691817114148
bior1.3,4,74.08148500456123,74.64402146444745,0.9946937006196612
bior1.3,5,74.08558867812877,76.2263417282117,0.994689332747348
bior1.5,1,74.07963835145583,62.606327079797055,0.994541026455803
bior1.5,2,74.08308543725258,65.76502483405469,0.9946337538865462
bior1.5,3,74.08062323311205,68.68484259422921,0.9946716183026252
bior1.5,4,74.08468586994391,70.90856651984313,0.9946813491741736
bior1.5,5,74.08485001688662,72.4049350887739,0.9946829702509408
bior2.2,1,74.05903791014678,55.58350010293874,0.99373738539448
bior2.2,2,74.07278521659805,55.16593950781927,0.9936661560161006
bior2.2,3,74.08123878414719,54.89133368169091,0.993667465015402
bior2.2,4,74.09108760070929,54.61921504915705,0.993685843198767
bior2.2,5,74.09753036821031,54.28744558224781,0.9936895412871014
bior2.4,1,74.07397528193263,59.78783748495707,0.9943520267826778
bior2.4,2,74.07446772276074,63.194176369906415,0.994559028353142
bior2.4,3,74.0778737718218,66.74360583790586,0.9946469407992689
bior2.4,4,74.08164915150394,68.95946996862826,0.9946650222796756
bior2.4,5,74.08382409849473,70.41946928284695,0.994662571001261
bior2.6,1,74.0711847839067,59.10482499389808,0.9942976840024684
bior2.6,2,74.07865346979963,62.20984550721147,0.994522993138637
bior2.6,3,74.08542453118608,64.47859801849306,0.9946040156228224
bior2.6,4,74.0855476413931,66.48148501674666,0.9946381787240322
bior2.6,5,74.08255195968879,67.93637508787742,0.9946400260912128
bior2.8,1,74.07877658000666,61.097279865684605,0.99446411262243
bior2.8,2,74.08045908616934,64.2114880089053,0.994598941751304
bior2.8,3,74.08238781274609,67.72302187844471,0.994661796613086
bior2.8,4,74.08132085761852,70.6489296790202,0.9946809333940304
bior2.8,5,74.08312647398824,73.27402703673124,0.994689153127964
bior3.1,1,74.06831221240942,47.19368469809858,0.994100037755216
bior3.1,2,74.06580897153323,47.1506931880773,0.9941823878749828
bior3.1,3,74.06125389387326,47.14744278695501,0.994189264982699
bior3.1,4,74.06416750210622,47.1477508877759,0.9942000837324836
bior3.1,5,74.06371609801377,47.14886651607939,0.9942156805934326
bior3.3,1,74.02501845627188,52.30654496354117,0.9928008022209662
bior3.3,2,74.02440290523674,52.268844162729934,0.9928616314832404
bior3.3,3,74.04352602406148,52.63238268883923,0.9930978232795944
bior3.3,4,74.05509838352195,52.26449311899556,0.9931421191201693
bior3.3,5,74.06543964091215,51.97177386642856,0.9932131198246028
bior3.5,1,74.02456705217944,52.76718318664005,0.993012315572298
bior3.5,2,74.03146122377291,52.70348566620261,0.9930305676914604
bior3.5,3,74.04762969762902,52.54039815935435,0.9931052302042536
bior3.5,4,74.06141804081597,52.48222471545879,0.9932345447143188
bior3.5,5,74.06465994293431,52.49832842102408,0.9933662051434142
bior3.7,1,74.02768584409077,52.64844589315303,0.9928836652421916
bior3.7,2,74.0423359587269,52.38376996358001,0.992882118912252
bior3.7,3,74.06026901221705,52.42539667215239,0.9930426877571458
bior3.7,4,74.06642452256835,52.52784770622676,0.9932238025312392
bior3.7,5,74.07114374717104,52.617617088497184,0.9933939568276172
bior3.9,1,74.03228195848641,52.59461270800907,0.9928041519574484
bior3.9,2,74.04713725680091,52.3534049770406,0.9928342173897498
bior3.9,3,74.06314158371433,52.39268770210796,0.9930073959131444
bior3.9,4,74.07327765742615,52.50247624082846,0.9931981949101978
bior3.9,5,74.07212862882724,52.62204986976409,0.9933755671226568
bior4.4,1,72.62997462698632,49.87018797071521,0.9922792868116164
bior4.4,2,72.72099410671439,49.87235726057789,0.9924157287498192
bior4.4,3,73.04481498792904,49.90141870137283,0.9928421392366932
bior4.4,4,73.34828164824869,49.8762931740059,0.9934025644931624
bior4.4,5,73.598441588926,49.77018981266233,0.9938476983017804
bior5.5,1,75.20158270482153,49.77212204581066,0.9918513469998368
bior5.5,2,75.09611829413572,49.72590903874858,0.9921788224124336
bior5.5,3,74.84361925952493,49.70505715021518,0.992613891832756
bior5.5,4,74.58631892684012,49.73794838719185,0.9930982928904464
bior5.5,5,74.40592143681101,49.8718563237139,0.9934467137712424
bior6.8,1,72.62061825125234,49.8554208457339,0.9922122981568318
bior6.8,2,72.63387311687549,49.8401680222376,0.992282778957299
bior6.8,3,72.9347544628476,49.86994280369318,0.9926546446846648
bior6.8,4,73.24491011108233,49.8700792885446,0.9932308499410591
bior6.8,5,73.53220829754588,49.81284775611908,0.993744396115988
coif1,1,74.04393639141823,54.55331839055184,0.9934352634018369
coif1,2,74.05641155906356,55.39290074776581,0.9936707332974644
coif1,3,74.06207462858676,56.30786576734139,0.9939051539881868
coif1,4,74.06478305314134,57.189116104083645,0.9940950053037042
coif1,5,74.07697096363694,58.04678002548383,0.994241754902696
coif2,1,74.04869665275659,55.186983790236205,0.9936047474766916
coif2,2,74.0650292735554,56.672816053668136,0.9939464509655022
coif2,3,74.0738521717256,58.142724826511845,0.994194285824263
coif2,4,74.07844828612126,59.4917289683184,0.994352136113663
coif2,5,74.08435757605851,60.78376646699104,0.994454042689212
coif3,1,74.05608326517815,53.60192779815237,0.9931287949426808
coif3,2,74.06757355116727,54.59130794809873,0.9934635674411212
coif3,3,74.08033597596231,55.54319562991746,0.9937549883174835
coif3,4,74.08316751072392,56.48565840749296,0.9939858914382644
coif3,5,74.08817399247633,57.31286108034485,0.9941394191113804
coif4,1,74.0681891022024,50.214864847619445,0.9920121333457472
coif4,2,74.11447854004426,49.72765783845283,0.9920242531364832
coif4,3,74.12756925872472,49.472553953881,0.9922067000278838
coif4,4,74.12531223826258,49.29130128644674,0.992453430544612
coif4,5,74.11279603388157,49.16088688502846,0.9926665886234068
coif5,1,74.05460594269384,51.17169053089825,0.9922801644952508
coif5,2,74.09379602526386,51.147140644662514,0.9923360393310868
coif5,3,74.110087609327,51.21017114688984,0.9925118748204216
coif5,4,74.11460165025129,51.30101273704935,0.9927428355662368
coif5,5,74.1124267032605,51.38524993067197,0.9929345695816432
coif6,1,74.05238995896737,53.604406729592846,0.9931471611893252
coif6,2,74.07348284110454,54.69736041167065,0.9935022075274332
coif6,3,74.08439861279419,55.73267525250903,0.9937996564998512
coif6,4,74.08944613128227,56.6693808349386,0.9940108415760914
coif6,5,74.09137485785901,57.49223153440717,0.9941377658561584
coif7,1,74.05575497129276,54.22197139914622,0.9933445891927366
coif7,2,74.07463186970344,55.90391569511561,0.9937974893898682
coif7,3,74.07828413917855,57.43468855547378,0.9941030704152792
coif7,4,74.08246988621744,58.84075934592517,0.994290750500434
coif7,5,74.08415239238013,60.03003297334435,0.9943906663273984
coif8,1,74.06080248978083,54.87038985606206,0.9935303182365178
coif8,2,74.07413942887533,56.94292794132078,0.993999756874936
coif8,3,74.07943316777747,58.82345187752105,0.9942782092701542
coif8,4,74.08324958419527,60.51296306224326,0.9944280269015828
coif8,5,74.08472690667959,62.049175718918,0.994501449799042
coif9,1,74.0253057134216,50.33202828134797,0.992119835926222
coif9,2,74.06942020427266,50.21617017273025,0.9921317380102008
coif9,3,74.100731233593,50.17784259594281,0.9922990520322824
coif9,4,74.1067225970016,50.16332559439305,0.992525740037834
coif9,5,74.097571404946,50.138650688946754,0.9927302522811952
coif10,1,74.04537267716688,52.161445797493705,0.9926090446299776
coif10,2,74.07294936354076,52.76352614186101,0.9928743860971542
coif10,3,74.08283921683852,53.3285391062097,0.9931616885273806
coif10,4,74.0962171926687,53.84334053090991,0.9934086875675264
coif10,5,74.10011568255787,54.28892768373921,0.9935875702782764
coif11,1,74.05390831818735,55.53394584248567,0.9936887425459074
coif11,2,74.07233381250562,58.25403226924544,0.9941916694070444
coif11,3,74.08004871881259,60.72047791687031,0.9944376985928912
coif11,4,74.0813618943542,62.90288291882348,0.9945512425600416
coif11,5,74.08501416382933,64.83367138104248,0.9945975394753224
coif12,1,74.05891479993976,50.297685878198905,0.992046885682551
coif12,2,74.09835110292383,50.0392966476472,0.9920689054215946
coif12,3,74.11850014014045,49.911696742660304,0.9922420875397344
coif12,4,74.11226255631779,49.82646998878816,0.9924869100657482
coif12,5,74.10430142959676,49.79259612019571,0.9926899863128724
coif13,1,74.05230788549602,55.3874407181505,0.993664098610972
coif13,2,74.06925605732995,58.36500884691343,0.994209018381968
coif13,3,74.08070530658341,60.99888530051005,0.9944576803158156
coif13,4,74.08365995155202,63.33811290937152,0.9945674025803284
coif13,5,74.08460379647256,65.3509065692469,0.9946102891826312
coif14,1,74.04397742815391,52.25790939388494,0.9926957892210136
coif14,2,74.06589104500458,53.201935440417245,0.9930609518705792
coif14,3,74.07610919218776,54.0550228574052,0.9934006357530738
coif14,4,74.08099256373313,54.84086132192711,0.9936813448683688
coif14,5,74.08645044957795,55.52146571115143,0.993863016665172
coif15,1,74.06740940422458,50.2288693413112,0.992037940193325
coif15,2,74.09551956816223,50.160068291840176,0.992097983320687
coif15,3,74.11464268698697,50.18045831679501,0.9922813306849008
coif15,4,74.12605089950472,50.22348631778525,0.9925116981382738
coif15,5,74.11981331568207,50.28754405835897,0.992694575735918
coif16,1,74.05000982829819,54.09654329618628,0.9933043719646732
coif16,2,74.07561675135965,56.04964822436271,0.9938270789856414
coif16,3,74.0891999108682,57.77865707907167,0.9941495352165568
coif16,4,74.08234677601043,59.24535199268264,0.9943235729351236
coif16,5,74.08333165766663,60.52015964760375,0.9944159525180918
coif17,1,74.04003790152906,52.27404304638711,0.9926708415985072
coif17,2,74.06958435121537,53.01063667157946,0.992979653839827
coif17,3,74.07340076763317,53.69754136717087,0.9932915459640216
coif17,4,74.08800984553362,54.34103682712807,0.9935526541117292
coif17,5,74.08755844144119,54.96363037408016,0.9937546122467577
db1,1,74.08148500456123,69.91100285166468,0.9946644598841148
db1,2,74.0830444005169,74.46521762874941,0.994693714221716
db1,3,74.08378306175905,77.96890196497256,0.9946999073050116
db1,4,74.08324958419527,80.79412695798351,0.9946992305611866
db2,1,74.0691739838586,59.18854340890954,0.9943014035045488
db2,2,74.07717614731531,61.09006953743547,0.9944596195806632
db2,3,74.08476794341526,63.34566609227223,0.9945703392306252
db2,4,74.08214159233204,65.50462486670101,0.9946277057981376
db2,5,74.08575282507147,67.49431458486421,0.9946530901431836
db3,1,74.04656274250146,49.46999909773106,0.9919512761839562
db3,2,74.03375928097074,48.60893803911869,0.9922415758458444
db3,3,74.06310054697866,48.202113430627,0.9926427833746022
db3,4,74.07065130634292,47.9551833502356,0.993014234959728
db3,5,74.07024093898617,47.78818413215497,0.993304484669083
db4,1,74.05046123239062,54.099071065737306,0.9932935220726608
db4,2,74.07147204105642,54.63987130994559,0.9934739320137946
db4,3,74.0827161066315,55.36101440895758,0.9937015133495596
db4,4,74.09133382112333,56.06589218179649,0.9938937162308316
db4,5,74.08567075160013,56.69852397195397,0.9940302760080064
db5,1,74.02120203985406,52.58876106369562,0.99276410381025
db5,2,74.04557786084524,52.67573055693862,0.9928360114398712
db5,3,74.05735540398409,52.92062973983907,0.9930242853514258
db5,4,74.07450875949641,53.2012813900562,0.9932501589555568
db5,5,74.07775066161477,53.49262443876087,0.9934509678010874
db6,1,74.09145693133036,49.62883265122117,0.9919187702312724
db6,2,74.08349580460933,48.9490996940118,0.9920644243273996
db6,3,74.09568371510493,48.59778992274386,0.9923448959792504
db6,4,74.09634030287573,48.36011875696532,0.9926537506012032
db6,5,74.08324958419527,48.180104168775706,0.992915336985045
db7,1,74.03527764019073,49.19837948341303,0.9919639640764142
db7,2,74.03137915030156,48.463725796760016,0.9923102667861918
db7,3,74.04504438328146,48.097996846814496,0.9927315088232288
db7,4,74.05858650605435,47.87460922441566,0.9931093278384184
db7,5,74.06404439189919,47.716781371962114,0.9934152522486784
db8,1,74.05879168973273,49.80957690847828,0.991948983040896
db8,2,74.06806599199538,49.171711441792944,0.9920509370928504
db8,3,74.0736880247829,48.84114703967721,0.9923197023090284
db8,4,74.07951524124881,48.62537225183354,0.99265162189111
db8,5,74.07159515126345,48.47005724928651,0.992948546125542
db9,1,74.06740940422458,50.252333849256935,0.9920047886241876
db9,2,74.10762540518647,49.716493143377,0.9919869327599734
db9,3,74.13438135684683,49.43715346397892,0.9921416900839524
db9,4,74.1359407528025,49.24612185905802,0.9923724302024176
db9,5,74.11115456445455,49.10027935667761,0.9925839013064234
db10,1,74.03330787687831,51.847508337519216,0.992509236017991
db10,2,74.05797095501923,51.85097503634861,0.9925463831325058
db10,3,74.08259299642447,51.98564941599883,0.9927071062347462
db10,4,74.09391913547088,52.1348832832692,0.9929163407787598
db10,5,74.09740725800329,52.30285886917022,0.99310260001568
db11,1,74.04840939560685,51.898539725097365,0.992492368687694
db11,2,74.08156707803258,51.97177889312869,0.99256384007697
db11,3,74.08883058024713,52.1638407368964,0.99274428391599
db11,4,74.10331654794055,52.36996368902461,0.9929616931532104
db11,5,74.10516320104594,52.53919784169371,0.9931422413333384
db12,1,74.04623444861606,54.14910420569221,0.9933124360263154
db12,2,74.06351091433541,55.4044347485504,0.9936731089217474
db12,3,74.0708564900213,56.60717047767805,0.9939556585081732
db12,4,74.0758629717737,57.71353683952592,0.9941536111859192
db12,5,74.08119774741151,58.69927764343464,0.9942733834003248
db13,1,74.03273336257885,52.2038087296706,0.9926277110166432
db13,2,74.05821717543327,52.70811216291008,0.9928459134830636
db13,3,74.07545260441695,53.20289846308923,0.993103697391216
db13,4,74.0827161066315,53.700757942098086,0.9933648773554532
db13,5,74.08546556792174,54.1531865386435,0.9935744993069676
db14,1,74.04639859555876,52.399708676297,0.9926992390909856
db14,2,74.06039212242406,52.78741311761977,0.992871818391572
db14,3,74.08127982088286,53.21215982037809,0.9930952903716872
db14,4,74.08452172300122,53.62640435832618,0.9933143622895546
db14,5,74.09170315174441,53.972323216748535,0.993499887085098
db15,1,74.0525130691744,49.57715359761589,0.9919411330032644
db15,2,74.03823228515935,49.011076994601446,0.9920813405249234
db15,3,74.06777873484565,48.70473017417753,0.9923586610128226
db15,4,74.0738521717256,48.49874725954434,0.992682019337146
db15,5,74.07196448188454,48.3503209127653,0.9929832314105717
db16,1,74.04176144442744,53.11557343694826,0.9929560398857308
db16,2,74.05505734678627,53.95440304730288,0.9932570225055614
db16,3,74.0780379187645,54.77393175893699,0.9935416162380756
db16,4,74.08895369045416,55.49498207012569,0.9937582323355264
db16,5,74.08591697201418,56.16039565324508,0.9939269658708202
db17,1,74.03790399127395,48.84011554444972,0.9920557938679532
db17,2,74.03880679945881,48.24021309980075,0.9924802455427792
db17,3,74.05337484062358,47.93609241319098,0.9928972266874408
db17,4,74.05768369786949,47.74301513514447,0.9932483660032536
db17,5,74.0636750612781,47.614016878871965,0.9934949413682702
db18,1,74.06847635935213,49.69236862021271,0.991912502703526
db18,2,74.08731222102715,49.20896079724263,0.9919977646283258
db18,3,74.09695585391086,48.93176490210247,0.9922174039725882
db18,4,74.10811784601458,48.74107954507633,0.9924925384811224
db18,5,74.09658652328979,48.59588602876631,0.9927336867766506
db19,1,74.06806599199538,49.510455606359656,0.9919152119740906
db19,2,74.0626901796219,49.003491492760055,0.9920463749350588
db19,3,74.08316751072392,48.71439040421235,0.9922935460591658
db19,4,74.08062323311205,48.51187276337102,0.9925881537539104
db19,5,74.07668370648722,48.35559553656003,0.9928493092476044
db20,1,74.04639859555876,50.8774302026882,0.9921541146613478
db20,2,74.07155411452779,50.82007887749084,0.9922028182004952
db20,3,74.10077227032868,50.853526609139166,0.992365744497744
db20,4,74.11115456445455,50.91055452742668,0.992601496595684
db20,5,74.10922583787782,50.963469854552685,0.9928203121407264
db21,1,74.05624741212085,49.49461237340179,0.9919669382821226
db21,2,74.0531696569452,49.0581218082434,0.9921066580165948
db21,3,74.07442668602506,48.81507978788129,0.9923637378209328
db21,4,74.08160811476826,48.64622040353287,0.992677032565027
